headword_iast	headword_slp1	entry_id	page	body
akrūra	akrUra	16	111-a	{@a-krūra,@}¦ {%<ab>a.</ab>%} not harsh.
akṣa	akza	17	111-a	"{@1akṣá,@}¦ {%<ab>n.</ab> for%} {@akṣán@} {%at end of <ab>cpds</ab>%} [<ls n=""wg,1315"">1315a</ls>]."
akṣa	akza	18	111-a	{@2akṣá,@}¦ {%<ab>m.</ab>%} a die for playing. [named, perhaps, from its ‘eyes’ ({@1akṣá@}) or ‘spots.’]
akṣa	akza	19	111-a	"{@ákṣa,@}¦ {%<ab>m.</ab>%} axle. [<ab>cf.</ab> <lang n=""greek"">ἄξων</lang>, <ab>Lat.</ab> {%axis,%} <ab>AS.</ab> {%eax,%} <ab>Eng.</ab> {%axe%} (<ab>i. e.</ab> ‘axle’), and {%axle.%}]"
akṣata	akzata	20	111-b	{@á-kṣata,@}¦ {%<ab>a.</ab>%} unhurt, uninjured; unbroken; {%as <ab>m.</ab> <ab>pl.</ab>%} unbroken {%or%} unhusked grains, {%<ab>esp.</ab>%} of barley.
akṣatakesara	akzatakesara	21	111-b	{@akṣata-kesara,@}¦ {%<ab>a.</ab>%} having an uninjured mane.
akṣatadeha	akzatadeha	22	111-b	{@akṣata-deha,@}¦ {%<ab>a.</ab>%} having an unhurt {%or%} perfect body.
akṣan	akzan	23	111-b	"{@akṣán@}¦ [<ls n=""wg,431"">431]</ls>, {%<ab>n.</ab>%} eye. [<ab>cf.</ab> <lang n=""greek"">ὔπ-ωπ-α</lang>, ‘have seen,’ <lang n=""greek"">ὤψ</lang>, ‘eye’; <lang n=""greek"">ὄσσε</lang>, ‘eyes’; <ab>Lat.</ab> {%oc-ulus,%} ‘eye’; the kinship of <ab>AS.</ab> {%eāge,%} <ab>Eng.</ab> {%eye,%} remains to be proved: <ab>cf.</ab> {@√īkṣ.@}]"
akṣapriya	akzapriya	24	111-b	{@akṣa-priya,@}¦ {%<ab>a.</ab>%} beloved of the dice, {%<ab>i. e.</ab>%} lucky at gaming.
akṣama	akzama	25	111-b	{@a-kṣama,@}¦ {%<ab>a.</ab>%} not equal to a thing; unable, {%<ab>w.</ab> <ab>inf.</ab>%}
akṣaya	akzaya	26	111-b	{@a-kṣaya,@}¦ {%<ab>a.</ab>%} imperishable.
akṣayatva	akzayatva	27	111-b	{@akṣayatva,@}¦ {%<ab>n.</ab>%} imperishability. [akṣaya.]
akṣara	akzara	28	111-b	"{@a-kṣára,@}¦ {%<ab>a.</ab>%} imperishable; {%as <ab>n.</ab>%} word; syllable; the sacred syllable, om, <ls n=""lan,60,14"">60<sup>14</sup></ls>; sound, letter, <ls n=""lan,61,4"">61<sup>4</sup></ls>."
akṣaranyāsa	akzaranyAsa	29	111-b	{@akṣara-nyāsa,@}¦ {%<ab>m.</ab>%} the commitment to letters, the writing.
akṣāra	akzAra	30	111-b	{@a-kṣāra,@}¦ {%<ab>a.</ab>%} not pungent.
akṣārālavaṇa	akzArAlavaRa	31	111-b	"{@akṣārālavaṇa,@}¦ {%<ab>n.</ab>%} that which is not pungent  <lbinfo n=""pun-gent""/> and not salt. [{@alavaṇa:@} <ls n=""wg,1253"">1253b</ls>.]"
akṣārālavaṇāśin	akzArAlavaRASin	32	111-b	{@akṣārālavaṇāśin,@}¦ {%<ab>a.</ab>%} eating that which is not pungent and not salt, abstaining from seasoned and salted food. [{@āśin.@}]
akṣi	akzi	33	111-b	"{@ákṣi@}¦ [<ls n=""wg,431"">431]</ls>, {%<ab>n.</ab>%} eye; {%see%} {@akṣán.@}"
akṣauhiṇī	akzOhiRI	34	111-b	{@akṣauhiṇī,@}¦ {%<ab>f.</ab>%} a complete army.
akṣauhiṇīpati	akzOhiRIpati	35	111-b	{@akṣauhiṇī-pati,@}¦ {%<ab>m.</ab>%} master of an army; general.
akhila	aKila	36	111-b	{@a-khila,@}¦ {%<ab>a.</ab>%} without a gap, entire; all.
agada	agada	37	111-b	{@a-gadá,@}¦ {%<ab>a.</ab>%} not having disease, well, healthy, whole; wholesome; {%as <ab>m.</ab>%} medicine.
agāra	agAra	38	111-b	{@agāra,@}¦ {%<ab>m.</ab> <ab>n.</ab>%} house.
agni	agni	39	111-b	"{@agní,@}¦ {%<ab>m.</ab>%} fire; {%<ab>esp.</ab>%} a sacred fire; the god of fire, Agni, mediator between men and [Page112-a+ 50] gods, messenger who carries the sacrifice to them, protector from the terrors and spirits of darkness, and keeper of house and hearth. [perhaps, ‘the quickly moving  <lbinfo n=""mov-ing""/> {%or%} agile one,’ {@√aj,@} <ls n=""wg,1158"">1158</ls>: <ab>cf.</ab> <ab>Lat.</ab> {%ignis,%} ‘fire,’ {%agilis,%} ‘agile’; akin, <ab>poss.</ab>, is <lang n=""greek"">αἴγλη</lang>, ‘flashing light.’]"
agnikuṇḍa	agnikuRqa	40	112-a	{@agni-kuṇḍa,@}¦ {%<ab>n.</ab>%} round hole in the ground for the sacred fire.
agnivelā	agnivelA	41	112-a	{@agni-velā,@}¦ {%<ab>f.</ab>%} fire-hour, time for kindling the sacred fire; afternoon.
agnihotra	agnihotra	42	112-a	"{@agni-hotrá,@}¦ {%<ab>n.</ab>%} fire-sacrifice (a burntoffering  <lbinfo n=""burnt-offering""/> of fresh milk)."
agnihotrahavaṇī	agnihotrahavaRI	43	112-a	{@agnihotra-hávaṇī,@}¦ {%<ab>f.</ab>%} fire-sacrifice ladle.
agnyādheya	agnyADeya	44	112-a	"{@agny-ādhéya,@}¦ {%<ab>n.</ab>%} placing {%or%} setting up of the sacred fire. [<ab>acct</ab>, <ls n=""wg,1272"">1272.</ls>]"
agra	agra	45	112-a	"{@ágra,@}¦ {%<ab>n.</ab>%} <div n=""2""/>{@—1.@} front; agre, in front, before, in presence of, {%<ab>w.</ab> <ab>gen.</ab>;%} <div n=""2""/>{@—2.@} beginning; agre, in the beginning, in the first place, first; <div n=""2""/>{@—3.@} tip, end. [perhaps, ‘that which goes before, leader,’ {@√aj:@} <ab>cf.</ab> <lang n=""greek"">ἄγω</lang>, ‘lead,’ <lang n=""greek"">στρατ-ηγός</lang>, ‘army-leader.’]"
agratas	agratas	46	112-a	"{@agratás,@}¦ {%<ab>adv.</ab>%} in front [<ls n=""wg,1098"">1098c<sup>8</sup></ls>]; before (one's self); {%<ab>w.</ab>%} {@kṛ,@} place in front, cause to lead. [agra, <ls n=""wg,1098"">1098b</ls>.]"
agrya	agrya	47	112-a	"{@agryá,@}¦ {%<ab>a.</ab>%} foremost, best. [{@ágra,@} <ls n=""wg,1212"">1212c</ls>.]"
agha	aGa	48	112-a	"{@aghá,@}¦ {%<ab>a.</ab>%} distressful, harmful; {%as <ab>n.</ab>%} harm, trouble, evil; sin; sorrow. [like {@aṃhú,@} ‘narrow,’ and {@áṃhas,@} ‘distress,’ from {@√*aṅgh@} or {@aṃh,@} ‘straiten’: <ab>cf.</ab> <lang n=""greek"">ἄχος</lang>, ‘distress’; <lbinfo n=""‘dis-tress’;""/>  <lang n=""greek"">ἄγχω</lang>, <ab>Lat.</ab> {%ango,%} ‘strangle’; <ab>AS.</ab> {%ange,%} ‘anxious,’ <ab>Ger.</ab> {%enge,%} ‘narrow,’ {%Angst,%} ‘distress’: for connection of <ab>mgs</ab>, <ab>cf.</ab> <ab>Eng.</ab> {%straiten,%} ‘to narrow’ and ‘to distress.’]"
aghāya	aGAya	49	112-a	"{@√aghāya@}¦ {@(aghāyáti).@} harm; plan mischief. <lbinfo n=""mis-chief.""/>  [agha, <ls n=""wg,1059"">1059b</ls>.]"
aghoracakṣus	aGoracakzus	50	112-a	{@á-ghoracakṣus,@}¦ {%<ab>a.</ab>%} not evil-eyed.
aghnya	aGnya	51	112-a	{@á-ghnya,@}¦ {%<ab>m.</ab>%} bull (the animal that is ‘hard to overcome,’ or more exactly, ‘not to be slain’).
aghnyā	aGnyA	52	112-a	{@ághnyā,@}¦ {%<ab>f.</ab>%} cow. [formed as a pendant to aghnya.]
aṅka	aNka	53	112-a	"{@aṅká,@}¦ {%<ab>m.</ab>%} <div n=""2""/>{@—1.@} the bend at the groin made by taking a sitting position, lap; <div n=""2""/>{@—2.@} the bend just above the hip (where babes, sitting  <lbinfo n=""sit-ting""/> astride, are carried by Hindu women {%--see%} {@āroha@}); <div n=""2""/>{@—3.@} hook; <div n=""2""/>{@—4.@} ({%like <ab>Eng.</ab>%} pot-hook) mark, sign. [{@√añc:@} for 1, <ab>cf.</ab> <lang n=""greek"">ἀγκών</lang>, ‘bend in arm {%or%} wall {%or%} shore’; for [Page112-b+ 50] 3, <ab>cf.</ab> <lang n=""greek"">ὄγκος</lang>, <ab>Lat.</ab> {%uncus,%} <ab>AS.</ab> {%ongel,%} ‘hook’; <ab>cf.</ab> <ab>Eng.</ab> {%angle,%} not a borrowed word.]"
aṅkhaya	aNKaya	54	112-b	"{@√aṅkhaya@}¦ ({@aṅkháyati@} [<ls n=""wg,1056"">1056,</ls> <ls n=""wg,1067"">1067]</ls>). hook on, grapple. [from aṅka, ‘hook,’ despite the aspiration.] <div n=""p""/>{@+ pari,@} clasp, embrace."
aṅg	aNg	55	112-b	{@√aṅg.@}¦ move, {%in <ab>derivs.</ab>%}
aṅga	aNga	56	112-b	{@aṅgá,@}¦ {%asseverative particle.%} {@yád aṅgá,@} just when; {@té aṅgá,@} they only.
aṅga	aNga	57	112-b	{@áṅga,@}¦ {%<ab>n.</ab>%} limb, member; {%by synecdoche,%} body, person, form. [{@√aṅg:@} for <ab>mg</ab>, <ab>cf.</ab> {@aṅgúli, aṅgúṣṭha.@}]
aṅgana	aNgana	58	112-b	"{@aṅgana,@}¦ {%<ab>n.</ab>%} court. [<ab>orig.</ab>, perhaps, ‘gangway, <lbinfo n=""‘gang-way,""/> ’ {@√aṅg.@}]"
aṅganā	aNganA	59	112-b	{@aṅganā́,@}¦ {%<ab>f.</ab>%} a (fair) form, {%<ab>i. e.</ab>%} a woman. [{@áṅga.@}]
aṅgāra	aNgAra	60	112-b	{@áṅgāra,@}¦ {%<ab>m.</ab>%} coal.
aṅgiras	aNgiras	61	112-b	"{@áṅgiras,@}¦ {%<ab>m.</ab>%} <div n=""2""/>{@—1.@} {%<ab>orig.</ab>, probably,%} messenger; {%<ab>esp.</ab>%} messenger between gods and men; {%by%} {%eminence,%} Agni; <div n=""2""/>{@—2.@} {%as <ab>pl.</ab>%} Angirases, a name applied by the Hindus to a certain race among their forefathers (perhaps because their intercourse with the gods was conceived  <lbinfo n=""con-ceived""/> as very intimate), these forefathers being regarded as half divine; <div n=""2""/>{@—3.@} {%as <ab>s.</ab>%} the (mythical) ancestor of the Angirases."
aṅguli	aNguli	62	112-b	"{@aṅgúli,@}¦ {%<ab>f.</ab>%} finger. [{@√aṅg,@} <ls n=""wg,1191"">1191</ls>: for <ab>mg</ab>, <ab>cf.</ab> {@áṅga.@}]"
aṅguṣṭha	aNguzWa	63	112-b	{@aṅgúṣṭha,@}¦ {%<ab>m.</ab>%} thumb. [for <ab>mg</ab>, <ab>cf.</ab> {@áṅga.@}]
ac	ac	64	112-b	"{@√ac@}¦ {%or%} {@añc (ácati, áñcati; akná, añcitá;@} {@-ácya).@} bend. [<ab>cf.</ab> {@aṅka@} and <ab>vbl</ab> {@añc.@}] <div n=""p""/>{@+ ā,@} bend."
acara	acara	65	112-b	{@a-cara,@}¦ {%<ab>a.</ab>%} not moving; {%as <ab>subst.</ab>%} plant (as distinguished from animals).
acala	acala	66	112-b	{@a-cala,@}¦ {%<ab>a.</ab>%} immovable; {%as <ab>m.</ab>%} mountain.
acit	acit	67	112-b	{@a-cít,@}¦ {%<ab>a.</ab>%} not knowing; unwise; foolish.
acitti	acitti	68	112-b	{@á-citti,@}¦ {%<ab>f.</ab>%} unwisdom; folly.
acitvā	acitvA	69	112-b	{@a-citvā,@}¦ {%<ab>grd.</ab>%} without piling. [{@√1ci.@}]
acintya	acintya	70	112-b	{@a-cintya,@}¦ {%<ab>a.</ab>%} incomprehensible.
accha	acCa	71	112-b	"{@áccha,@}¦ {%vbl prefix.%} to, unto; hither; {%<ab>w.</ab>%} {@√√@} {@2naś, yā, vah, vṛt;@} {%often%} {@acchā,@} <ls n=""wg,248"">248a</ls>."
aj	aj	72	112-b	"{@√aj@}¦ ({@ájati, -te@}). drive. [<ab>orig.</ab> ‘put in motion’: <ab>cf.</ab> <ab>Lat.</ab> {%ago,%} ‘lead, drive’; <lang n=""greek"">ἄγω</lang>, ‘lead’: <ab>cf.</ab> also {@agra, ajira, āji.@}] <div n=""p""/>{@+ ud,@} drive out."
aja	aja	73	112-b	"{@ajá,@}¦ {%<ab>m.</ab>%} he-goat. [<ab>prob.</ab> ‘the agile one,’ {@√aj:@} <ab>cf.</ab> <lang n=""greek"">αἴξ</lang>, ‘goat.’]"
ajara	ajara	74	112-b	{@a-jára,@}¦ {%<ab>a.</ab>%} not aging; ageless.
ajarāmaravat	ajarAmaravat	75	112-b	"{@ajarāmaravat,@}¦ {%<ab>adv.</ab>%} as if ageless and immortal. [{@ajara-amara,@} <ls n=""wg,1107"">1107,</ls> <ls n=""wg,1257"">1257.</ls>]"
ajasra	ajasra	76	113-a	{@á-jasra,@}¦ {%<ab>a.</ab>%} not dying out; perpetual (of fire).
ajā	ajA	77	113-a	{@ajā́,@}¦ {%<ab>f.</ab>%} she-goat. [see {@aja.@}]
ajāta	ajAta	78	113-a	{@á-jāta,@}¦ {%<ab>a.</ab>%} unborn.
ajina	ajina	79	113-a	"{@ajína,@}¦ {%<ab>m.</ab>%} goat-skin; pelt. [aja: <ab>cf.</ab> <lang n=""greek"">αἰγίς</lang>, ‘goat-skin, Aegis,’ <ab>w.</ab> <lang n=""greek"">αἴξ</lang>, ‘goat.’]"
ajira	ajira	80	113-a	"{@ajirá,@}¦ {%<ab>a.</ab>%} agile, swift. [{@√aj,@} <ls n=""wg,1188"">1188c</ls>: <ab>cf.</ab> <ab>Lat.</ab> {%agilis,%} ‘agile.’]"
ajirāya	ajirAya	81	113-a	"{@√ajirāya@}¦ {@(ajirāyate).@} be swift; press swiftly onward. [{@ajira,@} <ls n=""wg,1059"">1059b</ls>.]"
ajña	ajYa	82	113-a	{@a-jña,@}¦ {%<ab>a.</ab>%} not knowing, ignorant; foolish; {%as <ab>m.</ab>%} fool.
ajñāta	ajYAta	83	113-a	"{@á-jñāta,@}¦ {%<ab>a.</ab>%} unknown. [{@√jñā:@} <ab>cf.</ab> <lang n=""greek"">ἄ-γνωτος</lang>, <ab>Lat.</ab> {%i-gnotus,%} <ab>Eng.</ab> {%un-couth,%} ‘unknown.’]"
ajñātakulaśīla	ajYAtakulaSIla	84	113-a	{@ajñāta-kulaśīla,@}¦ {%<ab>a.</ab>%} whose family and character are unknown.
ajñātvā	ajYAtvA	85	113-a	{@a-jñātvā,@}¦ {%<ab>grd.</ab>%} without knowing.
ajñāna	ajYAna	86	113-a	{@a-jñāna,@}¦ {%<ab>n.</ab>%} ignorance; {@-āt@} {%and%} {@-atas,@} out of ignorance.
añc	aYc	87	113-a	{@√añc,@}¦ {%see%} {@√ac.@}
añc	aYc	88	113-a	"{@añc,@}¦ {%as <ab>vbl</ab> at end of <ab>cpds</ab>%} [{%see%} <ls n=""wg,407"">407</ls>-9], turning, directed; {%<ab>e. g.</ab>%} {@úd-añc,@} directed upward. [for <ab>mg</ab>, <ab>cf.</ab> <ab>Eng.</ab> {%-ward%} (in {%to-ward,%} <ab>etc.</ab>), which is akin <ab>w.</ab> {@√vṛt,@} ‘turn.’]"
añj	aYj	89	113-a	"{@√añj@}¦ {%or%} {@aj@} ({@anákti, aṅkté; ānáñja, ānajé@} [<ls n=""wg,788"">788]</ls>; {@ā́ñjīt; aktá; aktvā́; -áñjya, -ájya@}). <div n=""2""/>{@—1.@} smear; anoint; <div n=""2""/>{@—2.@} adorn. [<ab>cf.</ab> {@aktu:@} <ab>cf.</ab> <ab>Lat.</ab> {%ungo,%} ‘anoint.’] <div n=""p""/>{@+ ā,@} anoint. <div n=""p""/>{@+ vi,@} <div n=""2""/>{@—1.@} anoint; <div n=""2""/>{@—2.@} adorn; {%and so,%} bring to notice; {@vyàkta:@} adorned, fair; manifest; <lbinfo n=""mani-fest;""/>  {%--<ab>caus.</ab>%} make clear {%or%} manifest. <div n=""p""/>{@+ sam,@} <div n=""2""/>{@—1.@} anoint; <div n=""2""/>{@—2.@} adorn; <div n=""2""/>{@—3.@} unite by anointing, <ls n=""lan,89,19"">89<sup>19</sup></ls>; <div n=""2""/>{@—4.@} {%generalized,%} unite with, take to one's self ({%<ab>e. g.</ab>%} food), <ls n=""lan,88,10"">88<sup>10</sup></ls>."
añjali	aYjali	90	113-a	{@añjalí,@}¦ {%<ab>m.</ab>%} the two hollowed and open hands placed side by side; the hands so placed and raised to the forehead, {%<ab>i. e.</ab>%} a gesture of reverent salutation; a double handful (as measure).
añjas	aYjas	91	113-a	{@áñjas,@}¦ {%<ab>adv.</ab>%} quickly, suddenly. [<ab>prob.</ab> <ab>adv.</ab> <ab>acc.</ab> or <ab>instr.</ab> of an obsolete <ab>subst.</ab> {@áñjas,@} ‘a slippery way {%or%} a gliding motion,’ {@√añj.@}]
aṭ	aw	92	113-a	{@√aṭ@}¦ ({@áṭati, -te; aṭiṣyáti; aṭitá; aṭitvā́@}). wander about. [<ab>cf.</ab> {@√at.@}]
aṭanī	awanI	93	113-a	{@aṭanī,@}¦ {%<ab>f.</ab>%} the notched end of a bow.
aṭavī	awavI	94	113-a	{@aṭavī,@}¦ {%<ab>f.</ab>%} forest. [perhaps, ‘roaming-place,’ {@√aṭ.@}]
aṇḍa	aRqa	95	113-a	{@aṇḍa,@}¦ {%<ab>n.</ab>%} <ab>e.g.</ab>
aṇḍaja	aRqaja	96	113-b	{@aṇḍa-ja,@}¦ {%<ab>a.</ab>%} egg-born; {%as <ab>m.</ab>%} bird.
at	at	97	113-b	{@√at@}¦ ({@átati, -te; atitá@}). wander about. [<ab>cf.</ab> {@√aṭ.@}]
atandrita	atandrita	98	113-b	{@a-tandrita,@}¦ {%<ab>a.</ab>%} unwearied.
atas	atas	99	113-b	"{@átas,@}¦ {%<ab>adv.</ab>%} <div n=""2""/>{@—1.@} ({%as <ab>abl.</ab> of <ab>pron.</ab> root%} {@a@} [<ls n=""wg,1098"">1098]</ls>, {%and synonymous <ab>w.</ab>%} {@asmāt@}) from it; {%so%} <ls n=""lan,22,9"">22<sup>9</sup></ls>, {%<ab>sc.</ab>%} {@paṅkāt;@} ato ‘{@nya,@} other than it, <ls n=""lan,68,12"">68<sup>12</sup></ls>; <div n=""2""/>{@—2.@} from this (place), <ls n=""lan,83,15"">83<sup>15</sup></ls>; <div n=""2""/>{@—3.@} from this (time), <ls n=""lan,96,21"">96<sup>21</sup></ls>; {%<ab>cf.</ab>%} {@ūrdhvam;@} then, <ls n=""lan,40,16"">40<sup>16</sup></ls>; <div n=""2""/>{@—4.@} from this (cause), <ls n=""lan,35,10"">35<sup>10</sup></ls>; therefore, <ls n=""lan,27,8"">27<sup>8</sup></ls>, <ab>etc.</ab>; {%<ab>w.</ab> <ab>correl.</ab>%} {@yatas,@} <ls n=""lan,36,3"">36<sup>3</sup></ls>; hence; and so, <ls n=""lan,39,4"">39<sup>4</sup></ls>, <ls n=""lan,42,21"">42<sup>21</sup></ls>; so then, <ls n=""lan,73,12"">73<sup>12</sup></ls>. [<ab>pron.</ab> root a, <ls n=""wg,502"">502.</ls>]"
ati	ati	100	113-b	"{@áti,@}¦ {%<ab>adv.</ab>%} across, beyond, past, over, {%as <ab>vbl</ab>%} {%prefix; in <ab>cpds</ab>,%} to excess, excessive, {%see%} <ls n=""wg,1289"">1289b</ls>; {%as <ab>prep.</ab>%} beyond, over. [<ab>cf.</ab> <lang n=""greek"">ἔτι</lang>, ‘further, besides’; <ab>Lat.</ab> {%et,%} ‘besides, and.’]"
atikrama	atikrama	101	113-b	"{@atikrama,@}¦ {%<ab>m.</ab>%} act of overstepping {%or%} overcoming. <lbinfo n=""over-coming.""/>  [{@√kram + ati.@}]"
atithi	atiTi	102	113-b	{@átithi,@}¦ {%<ab>m.</ab>%} guest. [‘wanderer,’ {@√at.@}]
atidurvṛtta	atidurvftta	103	113-b	{@ati-durvṛtta,@}¦ {%<ab>a.</ab>%} excessively wicked.
atidūra	atidUra	104	113-b	{@ati-dūra,@}¦ {%<ab>a.</ab>%} very far {%or%} distant; {%as <ab>n.</ab>%} great distance.
atibhāra	atiBAra	105	113-b	{@ati-bhāra,@}¦ {%<ab>m.</ab>%} excessive burden.
atilaulya	atilOlya	106	113-b	{@ati-laulya,@}¦ {%<ab>n.</ab>%} excessive greediness.
ativṛṣṭi	ativfzwi	107	113-b	{@ati-vṛṣṭi,@}¦ {%<ab>f.</ab>%} excessive rain.
atiṣṭhant	atizWant	108	113-b	{@á-tiṣṭhant,@}¦ {%<ab>a.</ab>%} not standing; restless. [{@√sthā.@}]
atisaṃcaya	atisaMcaya	109	113-b	{@ati-saṃcaya,@}¦ {%<ab>m.</ab>%} excessive accumulation.
atisaṃnidhāna	atisaMniDAna	110	113-b	{@ati-saṃnidhāna,@}¦ {%<ab>n.</ab>%} excessive nearness.
atīndriya	atIndriya	111	113-b	"{@atīndriya,@}¦ {%<ab>a.</ab>%} transcending the senses; {%as%} {%<ab>n.</ab>%} soul, spirit. [{@ati + indriya,@} <ls n=""wg,1310"">1310a</ls>.]"
atīva	atIva	112	113-b	{@atīva,@}¦ {%<ab>adv.</ab>%} exceedingly; very. [{@ati + iva.@}]
atyājya	atyAjya	113	113-b	{@a-tyājya,@}¦ {%<ab>a.</ab>%} not to be abandoned.
atyugra	atyugra	114	113-b	"{@aty-ugra,@}¦ {%<ab>a.</ab>%} extraordinary. [‘excessively  <lbinfo n=""[‘exces-sively""/> strong.’]"
atyugrapuṇyapāpa	atyugrapuRyapApa	115	113-b	"{@atyugra-puṇyapāpa,@}¦ {%<ab>a.</ab>%} extraordinarily  <lbinfo n=""extraordinar-ily""/> good and bad; {%as <ab>n.</ab> <ab>pl.</ab>%} extraordinarily good and bad deeds."
atra	atra	116	113-b	"{@átra@}¦ ({@átrā,@} <ls n=""wg,248"">248a</ls>), {%<ab>adv.</ab>%} <div n=""2""/>{@—1.@} ({%as <ab>loc.</ab> of <ab>pron.</ab>%} {%root%} a [<ls n=""wg,1099"">1099<sup>4</sup></ls>], {%and synonymous <ab>w.</ab>%} {@asmin@}) {%substantively:%} in it, <ls n=""lan,97,10"">97<sup>10</sup></ls>; in this case, <ls n=""lan,31,5"">31<sup>5</sup></ls>; in that case, <ls n=""lan,18,17"">18<sup>17</sup></ls>; on this point, <ls n=""lan,29,2"">29<sup>2</sup></ls>; {%adjectively: <ab>w.</ab>%} {@antare:@} in this interim, meantime, <ls n=""lan,24,19"">24<sup>19</sup></ls>, <ls n=""lan,45,2"">45<sup>2</sup></ls>, <ls n=""lan,50,22"">50<sup>22</sup></ls>, <ls n=""lan,55,4"">55<sup>4</sup></ls>; on this occasion, at this juncture, <ls n=""lan,19,11"">19<sup>11</sup></ls>; atra sarasi, in this pool; <div n=""2""/>{@—2.@} in this {%or%} that (place); here, <ls n=""lan,25,16"">25<sup>16</sup></ls>; there, <ls n=""lan,33,5"">33<sup>5</sup></ls>, <ls n=""lan,89,4"">89<sup>4</sup></ls>; in that world ({%<ab>opp.</ab> to%} ‘in this world’), <ls n=""lan,87,1, 7, 9"">87<sup>1, 7, 9</sup></ls>; <div n=""2""/>{@—3.@} in that (time), then, <ls n=""lan,56,12"">56<sup>12</sup></ls>. [<ab>pron.</ab> root a, <ls n=""wg,502"">502.</ls>]"
atri	atri	117	114-a	{@átri,@}¦ {%<ab>m.</ab>%} Atri, name of a famous Rishi.
